,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
16,17,2011,위험한 상견례,김진영,롯데쇼핑㈜롯데엔터테인먼트,2011-03-31,한국,524,19174920500,2595625,코미디,12세이상관람가,일반영화
17,18,2011,엑스맨: 퍼스트 클래스,매튜 본,이십세기폭스코리아(주),2011-06-02,미국,587,19063768000,2532306,액션,12세이상관람가,일반영화
18,19,2011,블라인드,안상훈,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,한국,404,18361430500,2362906,스릴러,청소년관람불가,일반영화
19,20,2011,의뢰인,손영성,(주)쇼박스,2011-09-29,한국,522,17797042500,2393086,스릴러,15세이상관람가,일반영화
20,21,2011,가문의 영광4 - 가문의 수난,정태원,(주)넥스트엔터테인먼트월드(NEW),2011-09-07,한국,537,17762035500,2363955,코미디,15세이상관람가,일반영화
21,22,2011,걸리버 여행기,롭 레터맨,이십세기폭스코리아(주),2011-01-27,미국,513,16441355500,1762070,코미디,전체관람가,일반영화
22,23,2011,토르: 천둥의 신,케네스 브래너,(주)씨제이이엔엠,2011-04-28,미국,496,15985407000,1694529,액션,12세이상관람가,일반영화
23,24,2011,마당을 나온 암탉,오성윤,롯데쇼핑㈜롯데엔터테인먼트,2011-07-28,한국,345,14654856000,2198599,애니메이션,전체관람가,일반영화
24,25,2011,글러브,강우석,CJ ENM,2011-01-20,한국,605,13757574500,1888100,드라마,전체관람가,일반영화
25,26,2011,아이들...,이규만,롯데쇼핑㈜롯데엔터테인먼트,2011-02-17,한국,504,13562608500,1864408,범죄,15세이상관람가,일반영화
26,27,2011,평양성,이준익,롯데쇼핑㈜롯데엔터테인먼트,2011-01-27,한국,451,12684530500,1717566,전쟁,12세이상관람가,일반영화
27,28,2011,블랙 스완,대런 아로노프스키,"(주)영화사 그램,이십세기폭스코리아(주)",2011-02-24,미국,294,12484096000,1623199,드라마,청소년관람불가,일반영화
28,29,2011,분노의 질주: 언리미티드,저스틴 린,유니버설픽쳐스인터내셔널 코리아(유),2011-04-20,미국,457,12292868000,1621973,스릴러,15세이상관람가,일반영화
29,30,2011,그대를 사랑합니다,추창민,(주)넥스트엔터테인먼트월드(NEW),2011-02-17,한국,242,12005917000,1640351,드라마,15세이상관람가,독립/예술영화
30,31,2011,마이 웨이,강제규,"에스케이플래닛(주),(주)씨제이이엔엠",2011-12-21,한국,645,11813839000,1586042,전쟁,15세이상관람가,일반영화
31,32,2011,신들의 전쟁,타셈 싱,(주)넥스트엔터테인먼트월드(NEW),2011-11-10,미국,525,11726682000,1338411,드라마,청소년관람불가,일반영화
32,33,2011,브레이킹 던 part1,빌 콘돈,(주)넥스트엔터테인먼트월드(NEW),2011-11-30,미국,636,10692564000,1459449,드라마,15세이상관람가,일반영화
33,34,2011,라푼젤,"네이슨 그레노,바이론 하워드",한국소니픽쳐스릴리징브에나비스타영화㈜,2011-02-10,미국,328,10106348800,1006075,애니메이션,전체관람가,일반영화
34,35,2011,월드 인베이젼,조나단 리브스만,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-03-10,미국,441,9799358000,1307873,SF,12세이상관람가,일반영화
35,36,2011,소스 코드,던칸 존스,"(주)디스테이션,(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-05-04,미국,403,9638293500,1277301,액션,12세이상관람가,일반영화
36,37,2011,셜록홈즈 : 그림자 게임,가이 리치,워너브러더스 코리아(주),2011-12-21,미국,370,9502305000,1289857,액션,15세이상관람가,일반영화
37,38,2011,메가마인드,톰 맥그라스,CJ ENM,2011-01-13,미국,414,8688175500,875481,애니메이션,전체관람가,일반영화
38,39,2011,특수본,황병국,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-11-24,한국,471,8096052500,1118258,액션,15세이상관람가,일반영화
39,40,2011,수상한 고객들,조진모,(주)씨제이이엔엠,2011-04-14,한국,411,7953428000,1059350,코미디,15세이상관람가,일반영화
40,41,2011,개구쟁이 스머프,라자 고스넬,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-08-11,미국,399,7722534000,1027438,애니메이션,전체관람가,일반영화
41,42,2011,오직 그대만,송일곤,(주)쇼박스,2011-10-20,한국,435,7591008500,1027622,멜로/로맨스,15세이상관람가,일반영화
42,43,2011,심장이 뛴다,윤재근,롯데쇼핑㈜롯데엔터테인먼트,2011-01-05,한국,445,7538083500,1006947,드라마,15세이상관람가,일반영화
43,44,2011,파퍼씨네 펭귄들,마크 워터스,이십세기폭스코리아(주),2011-09-07,미국,333,7043993000,979739,코미디,전체관람가,일반영화
44,45,2011,틴틴 : 유니콘호의 비밀,스티븐 스필버그,롯데쇼핑㈜롯데엔터테인먼트,2011-12-07,미국,644,6630784500,801288,애니메이션,전체관람가,일반영화
45,46,2011,만추,김태용,CJ ENM,2011-02-17,한국,444,6300514500,844103,멜로/로맨스,15세이상관람가,일반영화
46,47,2011,체포왕,임찬익,롯데쇼핑㈜롯데엔터테인먼트,2011-05-04,한국,407,6146610500,831804,코미디,15세이상관람가,일반영화
47,48,2011,퍼펙트 게임,박희곤,롯데쇼핑㈜롯데엔터테인먼트,2011-12-21,한국,413,5996408000,811772,드라마,12세이상관람가,일반영화
48,49,2011,킹스 스피치,톰 후퍼,(주)화앤담이엔티,2011-03-17,영국,317,5963126500,806248,드라마,12세이상관람가,일반영화
49,50,2011,푸른소금,이현승,(주)씨제이이엔엠,2011-08-31,한국,476,5739824500,771699,액션,15세이상관람가,일반영화
50,51,2011,삼총사 3D,폴 W.S. 앤더슨,롯데쇼핑㈜롯데엔터테인먼트,2011-10-12,독일,510,5710755500,657564,액션,12세이상관람가,일반영화
51,52,2011,화이트: 저주의 멜로디,"김곡,김선",(주)씨제이이엔엠,2011-06-09,한국,305,5587166000,790954,공포(호러),15세이상관람가,일반영화
52,53,2011,풍산개,전재홍,(주)넥스트엔터테인먼트월드(NEW),2011-06-23,한국,286,5395019500,714102,드라마,청소년관람불가,일반영화
53,54,2011,통증,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2011-09-07,한국,317,5207167000,693101,멜로/로맨스,15세이상관람가,일반영화
54,55,2011,리오,카를로스 살다나,이십세기폭스코리아(주),2011-07-27,미국,333,5022007500,645191,애니메이션,전체관람가,일반영화
55,56,2011,아이 엠 넘버 포,D.J. 카루소,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-02-24,미국,284,4955215500,654386,액션,12세이상관람가,일반영화
56,57,2011,생텀,앨리스터 그리어슨,(주)시너지하우스 (시너지),2011-02-10,미국,323,4825063000,464607,어드벤처,15세이상관람가,일반영화
57,58,2011,아더 크리스마스,베리 쿡,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-25,미국,356,4771040500,620995,애니메이션,전체관람가,일반영화
58,59,2011,고양이: 죽음을 보는 두 개의 눈,변승욱,(주)넥스트엔터테인먼트월드(NEW),2011-07-07,한국,304,4767098000,670295,공포(호러),15세이상관람가,일반영화
59,60,2011,머니볼,베넷 밀러,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-17,미국,385,4677562000,641099,드라마,12세이상관람가,일반영화
60,61,2011,인 타임,앤드류 니콜,이십세기폭스코리아(주),2011-10-27,미국,304,4579554500,616943,SF,12세이상관람가,일반영화
61,62,2011,콜롬비아나,올리비에 메가턴,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-08-31,미국,397,4514940000,598373,액션,15세이상관람가,일반영화
62,63,2011,명탐정 코난 : 침묵의 15분,시즈노 코분,(주)미디어데이,2011-08-03,일본,275,4209588000,644216,애니메이션,전체관람가,일반영화
63,64,2011,퍼스트 어벤져,조 존스톤,(주)씨제이이엔엠,2011-07-28,미국,363,4163130500,514417,액션,12세이상관람가,일반영화
64,65,2011,러브 & 드럭스,에드워드 즈윅,이십세기폭스코리아(주),2011-01-13,미국,284,4125733000,527077,멜로/로맨스,청소년관람불가,일반영화
65,66,2011,언노운,하우메 콜렛 세라,워너브러더스 코리아(주),2011-02-17,미국,186,3953681000,522794,드라마,15세이상관람가,일반영화
66,67,2011,챔프,이환경,(주)쇼박스,2011-09-07,한국,288,3805721000,528149,드라마,12세이상관람가,일반영화
67,68,2011,너는 펫,김병곤,롯데쇼핑㈜롯데엔터테인먼트,2011-11-10,한국,341,3798398000,540972,멜로/로맨스,12세이상관람가,일반영화
68,69,2011,카 2,존 라세터,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-07-20,미국,379,3681142000,465607,애니메이션,전체관람가,일반영화
69,70,2011,카운트다운,허종호,"(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)",2011-09-29,한국,341,3630557000,471547,드라마,청소년관람불가,일반영화
70,71,2011,슈퍼 에이트,J.J. 에이브럼스,(주)씨제이이엔엠,2011-06-16,미국,411,3622835500,472118,SF,12세이상관람가,일반영화
71,72,2011,세 얼간이,라즈쿠마르 히라니,필라멘트픽쳐스,2011-08-18,인도,232,3352570500,458988,코미디,12세이상관람가,독립/예술영화
72,73,2011,앨빈과 슈퍼밴드3,마이크 미첼,이십세기폭스코리아(주),2011-12-15,미국,327,3279645000,496560,애니메이션,전체관람가,일반영화
73,74,2011,시즌 오브 더 위치: 마녀 호송단,도미닉 세나,(주)넥스트엔터테인먼트월드(NEW),2011-01-13,미국,218,3277434500,435201,어드벤처,15세이상관람가,일반영화
74,75,2011,모비딕,박인제,(주)쇼박스,2011-06-09,한국,377,3246572000,428139,스릴러,15세이상관람가,일반영화
75,76,2011,랭고,고어 버빈스키,(주)씨제이이엔엠,2011-03-03,미국,314,3039396000,428896,애니메이션,전체관람가,일반영화
76,77,2011,사랑이 무서워,정우철,롯데쇼핑㈜롯데엔터테인먼트,2011-03-10,한국,290,2992783000,397923,코미디,15세이상관람가,일반영화
77,78,2011,티끌모아 로맨스,김정환,필라멘트픽쳐스,2011-11-10,한국,294,2941601500,423915,멜로/로맨스,15세이상관람가,일반영화
78,79,2011,컨트롤러,조지 놀피,유니버설픽쳐스인터내셔널 코리아(유),2011-03-03,미국,371,2862234500,373344,스릴러,12세이상관람가,일반영화
79,80,2011,내 이름은 칸,카란 조하르,필라멘트픽쳐스,2011-03-24,인도,84,2820922500,381243,드라마,12세이상관람가,독립/예술영화
80,81,2011,레드 라이딩 후드,캐서린 하드윅,워너브러더스 코리아(주),2011-03-17,미국,249,2728562500,362572,드라마,15세이상관람가,일반영화
81,82,2011,커플즈,정용기,(주)싸이더스,2011-11-02,한국,387,2646578500,351779,멜로/로맨스,15세이상관람가,일반영화
82,83,2011,링컨 차를 타는 변호사,브래드 퍼맨,씨너스엔터테인먼트(주),2011-06-16,미국,241,2443603500,327612,범죄,15세이상관람가,일반영화
83,84,2011,파이널 데스티네이션5,스티븐 쿼일,워너브러더스 코리아(주),2011-09-08,미국,168,2370348500,257193,공포(호러),청소년관람불가,일반영화
84,85,2011,짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,시기노 아키라,(주)씨제이이엔엠,2011-05-05,일본,306,2319696500,346441,애니메이션,전체관람가,일반영화
85,86,2011,마이 블랙 미니드레스,허인무,(주)씨제이이엔엠,2011-03-24,한국,325,2318884500,313953,드라마,15세이상관람가,일반영화
86,87,2011,세상에서 가장 아름다운 이별,민규동,(주)넥스트엔터테인먼트월드(NEW),2011-04-20,한국,340,2295897500,316788,드라마,15세이상관람가,일반영화
87,88,2011,그린 호넷,미셸 공드리,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-01-27,미국,316,2152644900,195933,드라마,15세이상관람가,일반영화
88,89,2011,친구와 연인사이,이반 라이트만,CJ ENM,2011-02-10,미국,183,2099697500,267843,코미디,청소년관람불가,일반영화
89,90,2011,상하이,미카엘 하프스트롬,(주)넥스트엔터테인먼트월드(NEW),2011-01-27,미국,217,2039939000,269157,드라마,15세이상관람가,일반영화
90,91,2011,노미오와 줄리엣,캘리 애스버리,(주)쇼박스,2011-04-14,영국,291,1937118000,221176,애니메이션,전체관람가,일반영화
91,92,2011,카우보이 & 에이리언,존 파브로,(주)씨제이이엔엠,2011-08-11,미국,269,1930249000,256346,액션,15세이상관람가,일반영화
92,93,2011,줄리아의 눈,기옘 모랄레스,씨너스엔터테인먼트(주),2011-03-31,스페인,232,1827211000,236359,미스터리,청소년관람불가,일반영화
93,94,2011,컨테이젼,스티븐 소더버그,워너브러더스 코리아(주),2011-09-22,미국,226,1782554000,228899,액션,12세이상관람가,일반영화
94,95,2011,적과의 동침,박건용,(주)쇼박스,2011-04-27,한국,391,1740340000,243094,드라마,12세이상관람가,일반영화
95,96,2011,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,유야마 쿠니히코,(주)씨제이이엔엠,2011-12-22,일본,237,1728338500,261649,애니메이션,전체관람가,일반영화
96,97,2011,알파 앤 오메가,"안소니 벨,벤 글럭",(주)넥스트엔터테인먼트월드(NEW),2011-02-24,미국,230,1685788500,222953,애니메이션,전체관람가,일반영화
97,98,2011,메카닉,사이먼 웨스트,씨너스엔터테인먼트(주),2011-02-24,미국,226,1666463000,217077,드라마,청소년관람불가,일반영화
98,99,2011,그린랜턴: 반지의 선택,마틴 캠벨,워너브러더스 코리아(주),2011-06-16,미국,345,1651783500,216676,SF,12세이상관람가,일반영화
99,100,2011,한나,조 라이트,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-04-14,미국,269,1570759500,208912,액션,15세이상관람가,일반영화
100,101,2011,굿모닝 에브리원,로저 미첼,(주)씨제이이엔엠,2011-03-17,미국,144,1560339000,202148,드라마,15세이상관람가,일반영화
101,102,2011,마마,최익환,롯데쇼핑㈜롯데엔터테인먼트,2011-06-01,한국,269,1533830500,222731,드라마,12세이상관람가,일반영화
102,103,2011,극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,유야마 쿠니히코,(주)씨제이이엔엠,2011-12-22,일본,226,1469187500,217145,애니메이션,전체관람가,일반영화
103,104,2011,코쿠리코 언덕에서,미야자키 고로,(주)씨제이이엔엠,2011-09-29,일본,227,1409395900,197408,애니메이션,12세이상관람가,일반영화
104,105,2011,투혼,김상진,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-10-06,한국,356,1336010500,193724,드라마,전체관람가,일반영화
105,106,2011,127시간,대니 보일,이십세기폭스코리아(주),2011-02-17,미국,233,1333438500,180332,드라마,15세이상관람가,일반영화
106,107,2011,쥴리의 육지 대모험,구 안 호,(주)싸이더스,2011-09-08,미국,192,1295342000,191783,애니메이션,전체관람가,일반영화
107,108,2011,킬러 엘리트,개리 맥켄드리,에스케이텔레콤(주),2011-09-22,미국,251,1249754000,165123,스릴러,청소년관람불가,일반영화
108,109,2011,나는 아빠다,"전만배,이세영",롯데쇼핑㈜롯데엔터테인먼트,2011-04-14,한국,300,1246420500,168049,액션,청소년관람불가,일반영화
109,110,2011,써커 펀치,잭 스나이더,워너브러더스 코리아(주),2011-04-07,미국,240,1223821000,156606,액션,15세이상관람가,일반영화
110,111,2011,바니버디,팀 힐,유니버설픽쳐스인터내셔널 코리아(유),2011-07-20,미국,224,1207951000,181841,애니메이션,전체관람가,일반영화
111,112,2011,어브덕션,존 싱글톤,필라멘트픽쳐스,2011-09-29,미국,285,1140666500,156744,액션,15세이상관람가,일반영화
112,113,2011,빨간모자의 진실 2,마이크 디사,(주)화앤담이엔티,2011-07-13,미국,287,1113721000,155798,애니메이션,전체관람가,일반영화
113,114,2011,프렌즈: 몬스터섬의비밀,야마자키 타카시,"(주)스마일이엔티,(주)에스비에스콘텐츠허브",2011-12-29,일본,297,1086283500,147817,애니메이션,전체관람가,일반영화
114,115,2011,헬프,테이트 테일러,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-03,미국,163,1045217500,143738,드라마,전체관람가,일반영화
115,116,2011,파이터,데이빗 O. 러셀,(주)시너지하우스 (시너지),2011-03-10,미국,263,1033270000,136946,드라마,15세이상관람가,일반영화
116,117,2011,50/50,조나단 레빈,롯데쇼핑㈜롯데엔터테인먼트,2011-11-24,미국,159,1019768500,135985,코미디,15세이상관람가,독립/예술영화
117,118,2011,비스틀리,다니엘 반즈,(주)넥스트엔터테인먼트월드(NEW),2011-03-17,미국,214,1008669500,134025,드라마,12세이상관람가,일반영화
118,119,2011,제인 에어,캐리 후쿠나가,(주)시너지하우스 (시너지),2011-04-20,영국,208,981132000,135797,드라마,12세이상관람가,독립/예술영화
119,120,2011,옥보단 3D,손립기,(주)화앤담이엔티,2011-05-12,홍콩,269,969826000,84798,드라마,청소년관람불가,일반영화
120,121,2011,파라노말 액티비티 3,"헨리 유스트,아리엘 슐만",(주)씨제이이엔엠,2011-10-20,미국,180,948704000,131437,공포(호러),12세이상관람가,일반영화
121,122,2011,극장판 도라에몽: 진구와 철인군단 날아라 천사들,테라모토 유키요,에이원엔터테인먼트,2011-07-28,일본,154,937570000,138277,애니메이션,전체관람가,일반영화
122,123,2011,삼국지: 명장 관우,"맥조휘,장문강",(주)넥스트엔터테인먼트월드(NEW),2011-05-19,홍콩,207,920899000,125168,전쟁,15세이상관람가,독립/예술영화
123,124,2011,라스트 나잇,마시 태지딘,(주)싸이더스,2011-04-07,미국,243,910843000,119963,멜로/로맨스,청소년관람불가,일반영화
124,125,2011,정무문 : 100대 1의 전설,유위강,(주)싸이더스,2011-06-22,홍콩,225,872350500,117141,액션,15세이상관람가,일반영화
125,126,2011,로맨틱 크라운,톰 행크스,(주)싸이더스,2011-08-17,미국,239,860040500,114887,멜로/로맨스,12세이상관람가,일반영화
126,127,2011,샤크 나이트 3D,데이비드 R. 엘리스,(주)화앤담이엔티,2011-09-15,미국,239,855047000,92505,스릴러,15세이상관람가,일반영화
127,128,2011,프리스트,스콧 찰스 스튜어트,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-06-09,미국,228,839493000,93336,액션,15세이상관람가,일반영화
128,129,2011,썬더일레븐 극장판 : 최강군단 오우거의 습격,미야오 요시카즈,(주)미디어데이,2011-05-05,일본,166,811159500,123363,애니메이션,전체관람가,일반영화
129,130,2011,러브 앤 프렌즈,루크 그린필드,롯데쇼핑㈜롯데엔터테인먼트,2011-06-16,미국,207,795721500,110795,드라마,15세이상관람가,일반영화
130,131,2011,웨이 백,피터 위어,(주)쇼박스,2011-03-17,미국,175,776193500,105925,드라마,12세이상관람가,일반영화
131,132,2011,히트,이성한,(주)넥스트엔터테인먼트월드(NEW),2011-10-13,한국,171,771023500,109019,드라마,15세이상관람가,일반영화
132,133,2011,타운,벤 애플렉,워너브러더스 코리아(주),2011-01-27,미국,158,763767000,98866,드라마,청소년관람불가,일반영화
133,134,2011,기생령,고석진,롯데쇼핑㈜롯데엔터테인먼트,2011-08-05,한국,207,746326000,96077,공포(호러),청소년관람불가,일반영화
134,135,2011,오늘,이정향,롯데쇼핑㈜롯데엔터테인먼트,2011-10-27,한국,207,712814000,131896,드라마,15세이상관람가,일반영화
135,136,2011,써니 감독판,강형철,(주)씨제이이엔엠,2011-07-28,한국,54,698549500,90562,드라마,청소년관람불가,일반영화
136,137,2011,완벽한 파트너,박헌수,타임스토리그룹(주),2011-11-17,한국,166,676141000,89526,코미디,청소년관람불가,독립/예술영화
137,138,2011,타워 하이스트,브렛 래트너,유니버설픽쳐스인터내셔널 코리아(유),2011-11-17,미국,213,631715500,90840,액션,12세이상관람가,일반영화
138,139,2011,프렌즈 위드 베네핏,윌 글럭,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-27,미국,210,591765000,80197,코미디,청소년관람불가,일반영화
139,140,2011,극장판 유희왕 : 시공을 초월한 우정,타케시타 켄이치,대원미디어(주),2011-02-24,일본,103,590209500,60371,애니메이션,전체관람가,일반영화
140,141,2011,로맨틱 헤븐,장진,(주)시네마서비스,2011-03-24,한국,260,542739500,73729,드라마,12세이상관람가,일반영화
141,142,2011,베니싱,브래드 앤더슨,(주)넥스트엔터테인먼트월드(NEW),2011-03-31,미국,181,542044000,73582,미스터리,12세이상관람가,일반영화
142,143,2011,아따맘마 - 극장판,야스미 테츠오,에이원엔터테인먼트,2011-02-17,일본,90,533355500,81352,애니메이션,전체관람가,일반영화
143,144,2011,꿀벌 하치의 대모험,아미노 테츠로,"(주)박수엔터테인먼트,에이원엔터테인먼트",2011-01-13,일본,141,525369500,79625,애니메이션,전체관람가,일반영화
144,145,2011,돈비 어프레이드 : 어둠 속의 속삭임,트로이 닉시,(주)화앤담이엔티,2011-08-25,미국,232,521600500,70506,공포(호러),15세이상관람가,일반영화
145,146,2011,레지던트,안티 조키넨,(주)쇼박스,2011-06-02,영국,200,518700000,66216,스릴러,청소년관람불가,일반영화
146,147,2011,미트 페어런츠 3,폴 웨이츠,(주)씨제이이엔엠,2011-03-31,미국,196,517805000,70053,코미디,15세이상관람가,일반영화
147,148,2011,청원,산제이 렐라 반살리,"이언픽쳐스,씨너스엔터테인먼트(주)",2011-11-02,인도,181,510732000,71369,드라마,12세이상관람가,독립/예술영화
148,149,2011,"사랑한다, 사랑하지 않는다",이윤기,(주)넥스트엔터테인먼트월드(NEW),2011-03-03,한국,80,498314500,65282,멜로/로맨스,15세이상관람가,일반영화
149,150,2011,블리츠,엘리어트 레스터,팝엔터테인먼트,2011-12-07,영국,123,497335500,65436,스릴러,청소년관람불가,일반영화
150,151,2011,천녀유혼,엽위신,씨너스엔터테인먼트(주),2011-05-12,중국,240,497089500,66219,SF,12세이상관람가,일반영화
151,152,2011,회초리,박광우,롯데쇼핑㈜롯데엔터테인먼트,2011-05-19,한국,142,479093000,74765,드라마,12세이상관람가,일반영화
152,153,2011,극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,스기시마 쿠니히사,(주)미디어데이,2011-01-05,일본,120,474010500,70051,애니메이션,전체관람가,일반영화
153,154,2011,행오버 2,토드 필립스,워너브러더스 코리아(주),2011-08-25,미국,157,473137500,60048,코미디,청소년관람불가,일반영화
154,155,2011,Mr.아이돌,라희찬,"롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)",2011-11-03,한국,311,467982500,67001,드라마,12세이상관람가,일반영화
155,156,2011,내 여자친구의 결혼식,폴 페이그,유니버설픽쳐스인터내셔널 코리아(유),2011-08-25,미국,166,463049500,60788,코미디,청소년관람불가,일반영화
156,157,2011,헤드,조운,(주)에스비에스콘텐츠허브,2011-05-26,한국,196,462025000,61414,액션,청소년관람불가,일반영화
157,158,2011,황당한 외계인: 폴,그렉 모톨라,유니버설픽쳐스인터내셔널 코리아(유),2011-04-07,미국,148,461937500,61808,코미디,15세이상관람가,일반영화
158,159,2011,언피니시드,존 매든,유니버설픽쳐스인터내셔널 코리아(유),2011-10-06,미국,159,455595500,62383,드라마,15세이상관람가,일반영화
159,160,2011,결정적 한방,박중구,(주)화앤담이엔티,2011-12-07,한국,160,439400000,60944,코미디,15세이상관람가,일반영화
160,161,2011,아프리카 마법여행,조르디 롬파르트,롯데쇼핑㈜롯데엔터테인먼트,2011-01-20,스페인,150,425106500,46025,어드벤처,전체관람가,일반영화
161,162,2011,더 라이트: 악마는 있다,미카엘 하프스트롬,워너브러더스 코리아(주),2011-04-20,미국,104,422603000,55561,미스터리,15세이상관람가,일반영화
162,163,2011,워터 포 엘리펀트,프란시스 로렌스,이십세기폭스코리아(주),2011-05-04,미국,182,418236500,55561,드라마,15세이상관람가,일반영화
163,164,2011,고 녀석 맛나겠다,후지모리 마사야,(주)화앤담이엔티,2011-07-07,일본,124,407827500,59374,애니메이션,전체관람가,일반영화
164,165,2011,스트레스를 부르는 그 이름 직장상사,세스 고든,워너브러더스 코리아(주),2011-11-17,미국,117,404070500,51646,코미디,청소년관람불가,일반영화
165,166,2011,극장판 아따맘마3D : 엄마는 초능력자,타카하시 와타루,씨너스엔터테인먼트(주),2011-09-08,일본,123,401669000,60154,애니메이션,전체관람가,일반영화
166,167,2011,포인트 블랭크,프레드 카바예,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2011-07-13,프랑스,153,397470300,52094,스릴러,청소년관람불가,독립/예술영화
167,168,2011,가필드 펫 포스 3D,마크 A.Z. 디페,(주)화앤담이엔티,2011-01-27,미국,69,385817000,36420,애니메이션,전체관람가,일반영화
168,169,2011,별을 쫓는 아이,신카이 마코토,"(주)박수엔터테인먼트,에이원엔터테인먼트",2011-08-25,일본,139,373190500,52148,애니메이션,전체관람가,일반영화
169,170,2011,스크림 4G,웨스 크레이븐,(주)시너지하우스 (시너지),2011-06-09,미국,163,367661000,46723,미스터리,청소년관람불가,일반영화
170,171,2011,트리 오브 라이프,테렌스 맬릭,(주)에스비에스콘텐츠허브,2011-10-27,미국,125,367556500,51013,드라마,15세이상관람가,독립/예술영화
171,172,2011,달빛 길어올리기,임권택,"(주)쇼박스,(주)씨제이이엔엠,롯데쇼핑㈜롯데엔터테인먼트",2011-03-17,한국,128,362535000,57186,드라마,15세이상관람가,일반영화
172,173,2011,소중한 날의 꿈,"안재훈,한혜진",에이원엔터테인먼트,2011-06-23,한국,128,357026100,51001,애니메이션,전체관람가,독립/예술영화
173,174,2011,퍼펙트 센스,데이빗 맥킨지,"(주)아이엠비씨,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",2011-11-24,영국,124,343990100,45865,멜로/로맨스,15세이상관람가,독립/예술영화
